Trade ID,Date,Entry Time,Size,Entry,Take Profit,Stop Loss,Exit,Candle Count,Exit Type,"Trade Model ",Cumulative Equity,Tag,Trade Result Screenshot,Duration (mins),PnL,Trade Result,Direction,Day,Account,R:R,Win Indicator,Loss Indicator,Psychological Factors	,Lesson Learned,Time Frame,Bias,Current Balance,Compliance Check,Event Release Time,Events,HTF Key Level Focus,Initial Balance,Market Reaction on News Release,Market Sentiment,Planned Entry,Planned RRR,Planned SL,Planned TP,Pre-Market Emotions,Pre-Market Notes,Trade Plan,Trade Plan Screenshot,Actionable Steps,Event Type,"Market Conditions ",Ref: Events,Ref: Events Release Time,Risk %,Session,Duration (hrs),RoR,Stop Distance,Trade Performance Summary,Drawdown,Peak Value,Absolute Daily PnL,Error,Loss Value,Month,Multiplier,Profit Value,Symbol 1
Trade #78,02/27/2025,10:10 am,0.3,2877.044,2851.582,2885.511,2851.582,45,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),128520.1,Prop Firms,,675,763.86,WIN,SELL,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.01,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.29,NY am,11.25,88.500558211831,8.467,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2877.04
Exit Price: $2851.58
P/L: $763.86
Trade Model: @Gap Guardian (Live)
Date: 02/27/2025",0,128520.1,763.86,,0,February,100,763.86,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #77,02/26/2025,9:30 am,0.3,2901.284,2919.869,2895.144,2919.869,30,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),127756.24,Prop Firms,,450,557.55,WIN,BUY,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.03,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.21,NY am,7.5,64.057844733573,6.14,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2901.28
Exit Price: $2919.87
P/L: $557.55
Trade Model: @Gap Guardian (Live)
Date: 02/26/2025",0,127756.24,557.55,,0,February,100,557.55,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #76,02/25/2025,9:30 am,0.3,2943.05,2929.193,2947.645,2929.193,3,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),127198.69,Prop Firms,,45,415.71,WIN,SELL,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.02,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.16,NY am,0.75,47.08380761455,4.595,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2943.05
Exit Price: $2929.19
P/L: $415.71
Trade Model: @Gap Guardian (Live)
Date: 02/25/2025",0,127198.69,415.71,,0,February,100,415.71,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #75,02/20/2025,10:00 am,0.3,2932.75,2942.987,2929.337,2942.987,6,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),126782.98,Prop Firms,,90,307.11,WIN,BUY,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.12,NY am,1.5,34.905805131702,3.413,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2932.75
Exit Price: $2942.99
P/L: $307.11
Trade Model: @Gap Guardian (Live)
Date: 02/20/2025",0,126782.98,307.11,,0,February,100,307.11,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #74,02/19/2025,9:45 am,0.3,2939.726,2933.688,2941.739,2933.688,3,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),126475.87,Prop Firms,,45,181.14,WIN,SELL,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.07,NY am,0.75,20.539329175576,2.013,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2939.73
Exit Price: $2933.69
P/L: $181.14
Trade Model: @Gap Guardian (Live)
Date: 02/19/2025",0,126475.87,181.14,,0,February,100,181.14,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #73,02/18/2025,9:30 am,0.3,2922.479,2929.845,2920.022,2929.845,9,Target Hit,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),126294.73,Prop Firms,,135,220.98,WIN,BUY,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.08,NY am,2.25,25.204629357474,2.457,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2922.48
Exit Price: $2929.85
P/L: $220.98
Trade Model: @Gap Guardian (Live)
Date: 02/18/2025",0,126294.73,220.98,,0,February,100,220.98,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #72,02/13/2025,9:45 am,0.3,2913.767,2927.164,2909.298,2927.164,19,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),126073.75,Prop Firms,,285,401.91,WIN,BUY,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.15,NY am,4.75,45.978281722595,4.469,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2913.77
Exit Price: $2927.16
P/L: $401.91
Trade Model: @Gap Guardian (Live)
Date: 02/13/2025",0,126073.75,401.91,,0,February,100,401.91,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #71,02/12/2025,9:45 am,0.3,2890.293,2914.614,2882.214,2914.614,46,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),125671.84,Prop Firms,,690,729.63,WIN,BUY,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.01,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.28,NY am,11.5,84.147178158062,8.079,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2890.29
Exit Price: $2914.61
P/L: $729.63
Trade Model: @Gap Guardian (Live)
Date: 02/12/2025",0,125671.84,729.63,,0,February,100,729.63,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #70,02/11/2025,9:30 am,0.3,2902.032,2885.813,2907.439,2907.439,7,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),124942.21,Prop Firms,,105,-162.21,LOSS,SELL,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,0,1,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.19,NY am,1.75,-18.631772495961,5.407,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2902.03
Exit Price: $2907.44
P/L: $-162.21
Trade Model: @Gap Guardian (Live)
Date: 02/11/2025",-0.001296596875,125104.42,162.21,Did Not Plan (https://www.notion.so/Did-Not-Plan-1a1b632af110804db647db8c4986825a?pvs=21),-162.21,February,100,0,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #69,02/06/2025,9:30 am,0.3,2857.86,2836.181,2865.087,2836.181,4,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),125104.42,Prop Firms,,60,650.37,WIN,SELL,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.25,NY am,1,75.857459777596,7.227,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2857.86
Exit Price: $2836.18
P/L: $650.37
Trade Model: @Gap Guardian (Live)
Date: 02/06/2025",0,125104.42,650.37,,0,February,100,650.37,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #68,02/05/2025,9:45 am,0.3,2866.006,2877.883,2862.047,2877.883,4,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),124454.05,Prop Firms,,60,356.31,WIN,BUY,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.14,NY am,1,41.440946041285,3.959,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2866.01
Exit Price: $2877.88
P/L: $356.31
Trade Model: @Gap Guardian (Live)
Date: 02/05/2025",0,124454.05,356.31,,0,February,100,356.31,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #67,02/04/2025,10:30 am,0.3,2835.329,2846.523,2831.606,2846.523,32,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),124097.74,Prop Firms,,480,335.82,WIN,BUY,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.01,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.13,NY am,8,39.480427139143,3.723,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2835.33
Exit Price: $2846.52
P/L: $335.82
Trade Model: @Gap Guardian (Live)
Date: 02/04/2025",0,124097.74,335.82,,0,February,100,335.82,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #65,01/30/2025,9:30 am,0.3,2782.365,2792.633,2778.939,2792.633,6,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),123761.92,Prop Firms,,90,308.04,WIN,BUY,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.12,NY am,1.5,36.903856970599,3.426,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2782.37
Exit Price: $2792.63
P/L: $308.04
Trade Model: @Gap Guardian (Live)
Date: 01/30/2025",0,123761.92,308.04,,0,January,100,308.04,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #64,01/29/2025,9:45 am,0.3,2761.137,2750.878,2764.542,2750.878,3,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),123453.88,Prop Firms,,45,307.77,WIN,SELL,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.01,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.12,NY am,0.75,37.154983617256,3.405,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2761.14
Exit Price: $2750.88
P/L: $307.77
Trade Model: @Gap Guardian (Live)
Date: 01/29/2025",0,123453.88,307.77,,0,January,100,307.77,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #63,01/28/2025,10:00 am,0.3,2753.177,2761.898,2750.27,2761.898,14,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),123146.11,Prop Firms,,210,261.63,WIN,BUY,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.11,NY am,3.5,31.676132700513,2.907,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2753.18
Exit Price: $2761.9
P/L: $261.63
Trade Model: @Gap Guardian (Live)
Date: 01/28/2025",0,123146.11,261.63,,0,January,100,261.63,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #62,01/23/2025,9:45 am,0.3,2741.116,2750.241,2738.074,2750.241,6,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),122884.48,Prop Firms,,90,273.75,WIN,BUY,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.11,NY am,1.5,33.289360975603,3.042,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2741.12
Exit Price: $2750.24
P/L: $273.75
Trade Model: @Gap Guardian (Live)
Date: 01/23/2025",0,122884.48,273.75,,0,January,100,273.75,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #61,01/22/2025,9:30 am,0.3,2751.137,2758.532,2748.67,2758.532,6,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),122610.73,Prop Firms,,90,221.85,WIN,BUY,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.09,NY am,1.5,26.879795517272,2.467,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2751.14
Exit Price: $2758.53
P/L: $221.85
Trade Model: @Gap Guardian (Live)
Date: 01/22/2025",0,122610.73,221.85,,0,January,100,221.85,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #60,01/21/2025,9:30 am,0.3,2729.426,2735.496,2727.406,2735.496,2,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),122388.88,Prop Firms,,30,182.1,WIN,BUY,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.07,NY am,0.5,22.239108149479,2.02,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2729.43
Exit Price: $2735.5
P/L: $182.1
Trade Model: @Gap Guardian (Live)
Date: 01/21/2025",0,122388.88,182.1,,0,January,100,182.1,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #59,01/16/2025,9:30 am,0.3,2713.649,2719.2,2711.799,2719.2,2,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),122206.78,Prop Firms,,30,166.53,WIN,BUY,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.07,NY am,0.5,20.455851143608,1.85,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2713.65
Exit Price: $2719.2
P/L: $166.53
Trade Model: @Gap Guardian (Live)
Date: 01/16/2025",0,122206.78,166.53,,0,January,100,166.53,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #58,01/15/2025,10:00 am,0.3,2677.924,2689.091,2674.21,2689.091,7,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),122040.25,Prop Firms,,105,335.01,WIN,BUY,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.01,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.14,NY am,1.75,41.700212552709,3.714,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2677.92
Exit Price: $2689.09
P/L: $335.01
Trade Model: @Gap Guardian (Live)
Date: 01/15/2025",0,122040.25,335.01,,0,January,100,335.01,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #57,01/14/2025,10:00 am,0.3,2665.993,2674.789,2663.061,2674.789,18,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),121705.24,Prop Firms,,270,263.88,WIN,BUY,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.11,NY am,4.5,32.99333494124,2.932,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2665.99
Exit Price: $2674.79
P/L: $263.88
Trade Model: @Gap Guardian (Live)
Date: 01/14/2025",0,121705.24,263.88,,0,January,100,263.88,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #56,01/09/2025,10:00 am,0.3,2672.09,2653.154,2678.389,2678.389,66,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),121441.36,Prop Firms,,990,-188.97,LOSS,SELL,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.01,0,1,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.24,NY am,16.5,-23.573307785292,6.299,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2672.09
Exit Price: $2678.39
P/L: $-188.97
Trade Model: @Gap Guardian (Live)
Date: 01/09/2025",-0.001553642089,121630.33,188.97,Did Not Plan (https://www.notion.so/Did-Not-Plan-1a1b632af110804db647db8c4986825a?pvs=21),-188.97,January,100,0,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #54,01/07/2025,9:35 am,0.3,2660.807,2649.967,2664.39,2649.967,2,,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),121630.33,Prop Firms,,30,325.2,WIN,SELL,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.03,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.13,NY am,0.5,40.739520002766,3.583,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2660.81
Exit Price: $2649.97
P/L: $325.2
Trade Model: @Gap Guardian (Live)
Date: 01/07/2025",0,121630.33,325.2,,0,January,100,325.2,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #53,01/02/2025,10:00 am,0.3,2646.467,2657.266,2642.869,2657.266,6,,Gap Guardian (Backtest) (https://www.notion.so/Gap-Guardian-Backtest-199b632af110813ead66d6c7efda5247?pvs=21),121305.13,Backtesting,,90,323.97,WIN,BUY,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.14,NY am,1.5,40.805345390666,3.598,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2646.47
Exit Price: $2657.27
P/L: $323.97
Trade Model: @Gap Guardian (Backtest)
Date: 01/02/2025",0,121305.13,323.97,,0,January,100,323.97,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #52,12/31/2024,10:15 am,0.3,2617.966,2626.448,2615.138,2626.448,3,,Gap Guardian (Backtest) (https://www.notion.so/Gap-Guardian-Backtest-199b632af110813ead66d6c7efda5247?pvs=21),120981.16,Prop Firms,,45,254.46,WIN,BUY,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.11,NY am,0.75,32.399198461707,2.828,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2617.97
Exit Price: $2626.45
P/L: $254.46
Trade Model: @Gap Guardian (Backtest)
Date: 12/31/2024",0,120981.16,254.46,,0,December,100,254.46,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #51,12/26/2024,9:30 am,0.3,2612.233,2617.04,2610.643,2617.04,2,,Gap Guardian (Backtest) (https://www.notion.so/Gap-Guardian-Backtest-199b632af110813ead66d6c7efda5247?pvs=21),120726.7,Prop Firms,,30,144.21,WIN,BUY,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3.02,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.06,NY am,0.5,18.401880689816,1.59,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2612.23
Exit Price: $2617.04
P/L: $144.21
Trade Model: @Gap Guardian (Backtest)
Date: 12/26/2024",0,120726.7,144.21,,0,December,100,144.21,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #50,12/25/2024,10:00 am,0.3,2630.046,2637.61,2627.525,2637.61,3,,Gap Guardian (Backtest) (https://www.notion.so/Gap-Guardian-Backtest-199b632af110813ead66d6c7efda5247?pvs=21),120582.49,Prop Firms,,45,226.92,WIN,BUY,Wednesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.1,NY am,0.75,28.759953247966,2.521,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2630.05
Exit Price: $2637.61
P/L: $226.92
Trade Model: @Gap Guardian (Backtest)
Date: 12/25/2024",0,120582.49,226.92,,0,December,100,226.92,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #49,12/24/2024,9:45 am,0.3,2611.292,2617.843,2609.109,2617.843,10,,Gap Guardian (Backtest) (https://www.notion.so/Gap-Guardian-Backtest-199b632af110813ead66d6c7efda5247?pvs=21),120355.57,Prop Firms,,150,196.53,WIN,BUY,Tuesday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,1,0,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.08,NY am,2.5,25.087198214524,2.183,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2611.29
Exit Price: $2617.84
P/L: $196.53
Trade Model: @Gap Guardian (Backtest)
Date: 12/24/2024",-0.000170465746,120376.09,196.53,,0,December,100,196.53,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
Trade #48,12/19/2024,9:30 am,0.3,2597.178,2575.458,2604.413,2604.413,16,,Gap Guardian (Backtest) (https://www.notion.so/Gap-Guardian-Backtest-199b632af110813ead66d6c7efda5247?pvs=21),120159.04,Prop Firms,,240,-217.05,LOSS,SELL,Thursday,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),3,0,1,,,15m,,99709.1,Did Not Plan,,,,100000,,,,,,,,,,,,,,,,0.28,NY am,4,-27.857158808522,7.235,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2597.18
Exit Price: $2604.41
P/L: $-217.05
Trade Model: @Gap Guardian (Backtest)
Date: 12/19/2024",-0.001803098938,120376.09,217.05,Late Exit (https://www.notion.so/Late-Exit-1a1b632af110809d9b61ece119aca9c1?pvs=21),-217.05,December,100,0,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21)
